state_code,county_code,no_exercise,few_fruit_veg,obesity,high_blood_pres,smoker,diabetes,uninsured,prim_care_phys_rate,dentist_rate,community_health_center_ind
6,23,22.3,,23.8,20.4,20.1,8.5,21154,89.6,60.8,1
6,25,,,,,6.6,13.0,43126,32.1,16.7,1
6,27,,,,,,,2941,121.2,49.6,1
6,29,30.4,76.3,26.5,27.5,21.4,9.0,152346,62.2,27.7,1
6,31,23.1,,25.4,,12.6,4.6,27328,37.0,30.0,1
6,33,,,,,19.2,6.2,11580,62.9,30.7,1
6,35,,,,,,,4118,51.8,63.3,1
6,37,27.3,71.6,21.3,24.2,16.7,6.7,2167891,93.9,51.1,1
6,39,25.8,,,,15.5,10.4,29874,53.2,25.2,1
6,41,8.3,66.0,9.9,23.0,12.0,2.8,23521,167.2,100.4,1
6,43,,,,,,,2760,38.7,27.7,1
6,45,11.5,,,,,10.7,16199,105.5,56.7,1
6,47,34.6,,28.7,20.6,19.8,7.5,52448,51.3,28.1,1
6,49,,,,,,,1853,52.5,31.5,1
6,51,,,,,,,2270,71.9,40.0,2
6,53,30.4,72.2,24.4,20.7,17.0,4.7,80153,73.5,52.2,1
6,55,19.1,,19.7,,12.2,6.1,17325,106.2,61.8,1
6,57,17.4,,12.9,,8.5,8.3,12295,97.6,63.0,2
6,59,18.5,74.3,17.7,20.0,14.4,4.2,509324,105.0,60.2,1
6,61,11.3,68.6,17.3,21.1,15.0,5.7,31044,104.7,59.3,2
6,63,,,,,,,3107,97.8,55.9,2
6,65,28.0,72.2,23.4,24.9,16.3,6.8,320908,45.7,27.0,1
6,67,18.4,73.3,20.8,25.3,17.2,6.4,198250,90.9,53.0,1
6,69,,,,,6.0,,10002,39.3,25.0,2
6,71,28.6,77.2,25.7,26.4,17.8,7.8,351853,60.2,35.2,1
6,73,22.5,73.2,20.3,24.7,14.6,5.6,488866,91.5,58.0,1
6,75,21.8,69.3,10.5,20.8,17.8,3.7,102303,243.3,126.4,1
6,77,27.6,67.5,25.0,28.8,16.9,6.4,109891,66.6,39.8,1
6,79,14.2,75.9,19.1,24.9,12.6,5.5,36997,92.0,51.7,1
6,81,18.8,71.0,14.4,21.6,16.8,4.2,84134,119.4,78.3,1
6,83,20.4,71.5,17.4,28.5,12.9,5.7,71837,96.8,68.6,1
6,85,18.4,71.4,17.4,22.6,10.9,5.9,196918,123.4,76.0,1
6,87,16.8,64.9,17.9,17.7,11.3,6.9,41479,101.7,62.5,1
6,89,12.5,73.1,23.2,27.6,22.9,5.6,27365,81.7,51.1,1
6,91,,,,,,,441,0.0,29.1,2
6,93,11.6,,,,,8.7,8229,81.8,46.4,1
6,95,18.6,72.0,20.9,21.9,17.2,6.4,54843,81.1,53.9,1
6,97,18.2,72.5,20.7,17.1,16.6,6.3,63936,109.1,69.7,1
6,99,28.2,74.6,25.4,24.6,18.7,10.0,89406,69.8,39.0,1
6,101,,,,,,6.6,16050,91.1,49.5,1
6,103,,,18.6,,,3.5,11402,49.0,27.8,2
6,105,,,,,,,2158,51.4,29.4,1
6,107,34.9,73.3,24.9,22.4,18.6,9.7,100242,53.8,33.3,1
6,109,23.3,,21.3,,21.3,5.7,8213,82.5,58.9,2
6,111,21.5,72.9,19.5,27.7,16.1,7.0,130322,80.0,53.3,1
6,113,20.1,76.2,13.9,,11.4,8.3,29458,132.5,46.0,1
6,115,,,,,,13.9,13577,52.1,25.3,1
8,1,25.0,78.1,22.2,22.0,24.1,6.6,60276,37.8,29.0,1
8,3,19.3,83.9,18.2,19.0,17.5,5.5,3261,78.5,52.3,1
8,5,17.6,77.1,17.2,19.9,19.9,5.1,62694,90.3,61.6,1
8,7,,90.9,,,,3.9,2149,67.3,25.2,2
8,9,,,,,,,1043,98.3,24.6,2
8,11,,,,,,,1237,0.0,0.0,1
8,13,10.3,69.3,10.9,16.8,14.3,3.8,39248,136.6,76.0,1
8,14,14.4,,21.5,15.9,17.4,3.3,-2222,87.4,,2
8,15,21.4,71.2,14.3,,21.9,5.0,2324,64.8,47.1,2
8,17,,,,,,,471,102.4,0.0,2
8,19,,,12.9,,,1.0,1144,32.6,10.9,1
8,21,,,,,,,2250,35.2,0.0,1
8,23,,,,,,,1042,29.2,0.0,1
8,25,,,,,,,889,18.5,0.0,2
8,27,,,,,,,655,51.8,0.0,2
8,29,24.5,75.8,17.8,26.9,21.8,7.4,5244,66.8,36.7,2
8,31,22.8,76.1,16.2,20.8,21.1,5.2,101192,194.1,78.0,1
8,33,,,,,,,349,54.7,0.0,1
8,35,11.4,77.7,11.4,15.6,8.9,4.0,27847,58.9,20.4,2
8,37,15.0,71.9,13.8,15.5,14.2,0.5,7789,92.6,35.8,2
8,39,21.1,,9.8,12.4,19.3,2.1,2823,0.0,17.6,2
